Photo,URL,Date/Time Original (Capture),Camera Make,Width,Height,File Type
/Volumes/Ladyhawke/RawPhotoImports/2024/2024-05-27/IMG_9441.HEIC,lightroom://com.johnrellis.anyfilter/B7E1B2FF-865D-4C21-B691-DC5393E6DF54,2024-05-27 14:08:22+02:00,Apple,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2021/2021-01-26/7. man op zjin paard .jpg,lightroom://com.johnrellis.anyfilter/99777B71-D28A-4137-A530-27A83E686409,2021-01-26 03:10:02,,1440.0,2560.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2016/2016-06-22/IMG_8563.JPG,lightroom://com.johnrellis.anyfilter/A94CD2B0-E373-4E9C-B4DF-643D07337C8A,2016-06-22 15:01:44,Apple,2560.0,567.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/IMG_1201.JPG,lightroom://com.johnrellis.anyfilter/48E6371E-3176-4592-8D1E-DBF645CCA1CF,2017-08-29 19:33:03,Apple,4032.0,3024.0,JPEG
/Volumes/Ladyhawke/RawPhotoImports/2016/2016-08-05/DSC01624.JPG,lightroom://com.johnrellis.anyfilter/D420BC83-1D59-4BB3-9BB4-C8BAC52BF247,2016-08-05 12:21:39,Sony,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotoImports/2024/2024-05-25/IMG_3518.CR3,lightroom://com.johnrellis.anyfilter/0C2B99C6-C4A6-4649-BECC-24F688DF113C,2024-05-25 13:38:31+02:00,Canon,2560.0,1707.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2022/2022-11-04/2- Corrected-#1573-089.jpg,lightroom://com.johnrellis.anyfilter/FC420392-9D25-431B-8AA4-9216F442C032,2022-11-04 16:08:21,,2560.0,1701.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2017/2017-09-23/P9239580.ORF,lightroom://com.johnrellis.anyfilter/A63D93CC-15B1-4267-A02C-76330001AE9D,2017-09-23 10:14:07,Olympus,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2008/2008-03-19/Marleen 2.tif,lightroom://com.johnrellis.anyfilter/EE85065C-48BA-4636-9E5D-3DC765C076AB,2008-03-19 07:04:24,,845.0,885.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2008/2008-09-24/30.jpg,lightroom://com.johnrellis.anyfilter/01D098B7-36F7-4655-B19C-B803CC38081E,2008-09-24 14:26:55,,1260.0,1626.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/downloaded-smart-previews/_JD07353.NEF,lightroom://com.johnrellis.anyfilter/2C853E1F-077F-408A-8B88-75D4F9147D8F,2016-05-28 09:17:31,Nikon,2560.0,1700.0,Digital Negative (DNG)
/Users/jea/Pictures/Lightroom/Mobile Downloads.lrdata/downloaded-smart-previews/_JD07868.NEF,lightroom://com.johnrellis.anyfilter/080B7573-63C5-47EF-85F0-FF6CF15E6D5D,2016-05-30 13:01:31,Nikon,2560.0,1700.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotoImports/2024/2024-05-20/IMG_2890.CR3,lightroom://com.johnrellis.anyfilter/18735E05-B32C-48A2-BBA9-4F9FE76474DC,2024-05-20 13:42:59+02:00,Canon,2560.0,1707.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotoImports/2024/2024-06-02/IMG_0303.HEIC,lightroom://com.johnrellis.anyfilter/D2A35300-D315-42C5-8FA1-B2A416F0237C,2024-06-02 17:36:34+02:00,Apple,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/downloaded-smart-previews/P7163517 1.JPG,lightroom://com.johnrellis.anyfilter/431C78FC-C462-4922-AF36-2430FBDFF56B,2017-07-16 10:43:23,Olympus,2560.0,1920.0,Digital Negative (DNG)
/Users/jabraham/Pictures/Lightroom/PicturesFromOthers/Alans/April2007Etc/DSC_0018 (3).JPG,lightroom://com.johnrellis.anyfilter/61781114-E783-473F-9279-10C2F044737F,2007-05-28 19:54:23.60-06:00,Nikon,3872.0,2592.0,JPEG
/Volumes/Ladyhawke/RawPhotoImports/2024/2024-05-31/IMG_0026.HEIC,lightroom://com.johnrellis.anyfilter/16611813-890A-4699-B815-159C97DEFACD,2024-05-31 18:25:36+02:00,Apple,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/downloaded-smart-previews/_JD02692.NEF,lightroom://com.johnrellis.anyfilter/C2C54B74-22CF-4F51-81E5-35DD18DEF78B,2010-07-11 14:36:18+01:00,Nikon,2560.0,1700.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotoImports/2024/2024-05-12/IMG_2179.CR3,lightroom://com.johnrellis.anyfilter/7705303C-1CBE-4B78-9194-0A6E4CB89920,2024-05-12 10:10:04+02:00,Canon,2560.0,1707.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2015/2015-09-21/2015-09-21-0001.tif,lightroom://com.johnrellis.anyfilter/6CC1B847-4D28-43DE-A566-B93762EF1425,2015-09-21 12:19:14,Nikon,2560.0,1755.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotoImports/2024/2024-05-25/IMG_9166.HEIC,lightroom://com.johnrellis.anyfilter/8BF8FC27-523C-46B5-9075-07C230D01CF9,2024-05-25 17:06:07+02:00,Apple,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/IMG_2715.JPG,lightroom://com.johnrellis.anyfilter/712FD0B4-AF16-4707-AF22-C78682B9266C,2017-03-26 10:42:25,Apple,4032.0,3024.0,JPEG
/Volumes/Ladyhawke/RawPhotos/2008/2008-10-01/IMG_0033 1958.jpg,lightroom://com.johnrellis.anyfilter/216136B0-6C61-46A5-A9FB-1AA69C1AC702,2008-10-01 14:23:26,Canon,1032.0,1472.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/P1071132.ORF,lightroom://com.johnrellis.anyfilter/78521B6C-43E3-4807-B968-D20D7813D34A,2017-01-07 16:44:43,Olympus,4608.0,3456.0,Raw
/Volumes/Ladyhawke/RawPhotos/downloaded-smart-previews/LauraScan2022-015.tif,lightroom://com.johnrellis.anyfilter/65150019-E028-408D-BDA7-C6E0136E278D,2005-09-24 12:00:00,Canon,2560.0,1865.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2022/2022-11-14/17- Corrected-#1573-035.jpg,lightroom://com.johnrellis.anyfilter/A0C4222C-F8E9-4179-BB72-01579BDCB913,2022-11-14 14:26:09,,2560.0,1716.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/downloaded-smart-previews/PA051006.ORF,lightroom://com.johnrellis.anyfilter/6FDB250F-DDA6-4A0D-B8FB-A79A29B918FB,2017-10-05 15:31:45,Olympus,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/downloaded-smart-previews/_JD05037-2.NEF,lightroom://com.johnrellis.anyfilter/8324100F-6450-410C-815F-736C7C24D581,2018-02-12 17:27:22,Nikon,2560.0,1700.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2014/2014-10-04/NeedSorting--img089.jpg,lightroom://com.johnrellis.anyfilter/0CD5D0AC-DCF9-4366-83F9-DABD8D3C112C,2014-10-04 11:20:00,,2361.0,2560.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotoImports/2024/2024-06-04/IMG_5390.CR3,lightroom://com.johnrellis.anyfilter/39A4F897-5151-4895-A5BC-952148F1FF3F,2024-06-04 13:53:00+02:00,Canon,2560.0,1707.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2012/2012-09-04/_JD07629.NEF,lightroom://com.johnrellis.anyfilter/2C1EDD00-CD47-4948-987C-6CDAD08116E2,2012-09-04 08:27:31.25,Nikon,4288.0,2848.0,Raw
/Volumes/Ladyhawke/RawPhotoImports/2024/2024-06-05/IMG_1063.HEIC,lightroom://com.johnrellis.anyfilter/F0FAFD88-D4D4-46EA-AEF7-EF9E8A53EF8A,2024-06-05 15:12:08+02:00,Apple,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2017/2017-09-21/P9219216.ORF,lightroom://com.johnrellis.anyfilter/499311A0-84F4-417A-AE07-12C7B75F6ECF,2017-09-21 11:22:42,Olympus,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotoImports/2015/2015-09-16/Book78Clear.tif,lightroom://com.johnrellis.anyfilter/71452BEC-23E3-4D59-953E-80A688167DA2,2015-09-16 21:23:14,,2560.0,1757.0,Digital Negative (DNG)
